pgmid,vehicle_count,pepkspeed,timestamp,location,created_at
88,1,32.74,07:42:54.131,"32.8945,-96.57679",2025-10-27T07:42:54.147060Z
88,1,42.14,07:42:54.986,"32.8945,-96.57679",2025-10-27T07:42:54.987019Z
88,1,36.1,07:42:55.702,"32.8945,-96.57679",2025-10-27T07:42:55.703548Z
88,1,45.41,07:42:56.473,"32.8945,-96.57679",2025-10-27T07:42:56.474285Z
88,1,40.18,07:42:57.195,"32.8945,-96.57679",2025-10-27T07:42:57.196397Z
88,1,45.41,07:42:57.910,"32.8945,-96.57679",2025-10-27T07:42:57.911490Z
88,1,32.85,07:42:58.659,"32.8945,-96.57679",2025-10-27T07:42:58.660605Z
88,1,50.65,07:42:59.426,"32.8945,-96.57679",2025-10-27T07:42:59.427323Z
88,1,54.3,07:43:00.137,"32.8945,-96.57679",2025-10-27T07:43:00.138089Z
88,1,37.12,07:43:00.873,"32.8945,-96.57679",2025-10-27T07:43:00.874888Z
88,1,41.23,07:43:01.629,"32.8945,-96.57679",2025-10-27T07:43:01.630490Z
88,1,29.64,07:43:02.350,"32.8945,-96.57679",2025-10-27T07:43:02.352183Z
88,1,36.81,07:43:03.068,"32.8945,-96.57679",2025-10-27T07:43:03.069985Z
88,1,35.43,07:43:03.821,"32.8945,-96.57679",2025-10-27T07:43:03.822388Z
88,1,41.69,07:43:04.541,"32.8945,-96.57679",2025-10-27T07:43:04.543081Z
88,1,42.73,07:43:05.263,"32.8945,-96.57679",2025-10-27T07:43:05.263956Z
88,1,48.91,07:43:05.991,"32.8945,-96.57679",2025-10-27T07:43:05.992561Z
88,1,33.62,07:43:06.716,"32.8945,-96.57679",2025-10-27T07:43:06.717667Z
88,1,39.39,07:43:07.453,"32.8945,-96.57679",2025-10-27T07:43:07.454463Z
88,1,41.66,07:43:08.193,"32.8945,-96.57679",2025-10-27T07:43:08.195394Z
88,1,38.92,07:43:08.918,"32.8945,-96.57679",2025-10-27T07:43:08.919252Z
88,1,41.04,07:43:09.637,"32.8945,-96.57679",2025-10-27T07:43:09.638270Z
88,1,42.92,07:43:10.359,"32.8945,-96.57679",2025-10-27T07:43:10.359939Z
